Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Asia Taylor,PHO,4,0,7.8,0,1.5,0,0,0.3,0,0,1.3,0,0,0.3,0.5,0.5,1,1.8,0.3,0.3,0,0.5,1,0.3,19,0.486,0.081,0.174,5.3,11,23.2,2.4,1.2,10.8,22.8,2,1.5,3.5,0.143
Asia Taylor,TOT,12,0,8,0.8,2.3,0.357,0,0.2,0,0.8,2.2,0.385,0.357,0.5,0.7,0.75,0.7,1.8,0.7,0.2,0.1,0.6,0.8,2.2,16.7,0.521,0,0.477,11.4,12.1,7.8,1.4,4.7,12.9,15.9,1.6,1,2.7,0.117
Alyssa Thomas,CON,34,34,30.2,4.9,9.8,0.505,0,0,0,4.9,9.8,0.506,0.505,1.8,3.6,0.496,2.4,7.8,3.1,1.9,0.4,2,2.8,11.6,10.4,0.468,0.227,0.221,3.2,7.6,20.2,2.1,1,21.7,21,-0.5,0.5,0,-0.001
Jasmine Thomas,CON,34,34,29.7,4.1,10.4,0.392,1.3,3.6,0.366,2.8,6.8,0.405,0.455,1.6,2.1,0.8,0.6,2.9,5.1,1.4,0.1,2.7,1.8,11.1,15.4,0.538,0.57,0.207,2.5,5.8,10.4,2.2,0.6,9.6,21.9,1.2,0.7,2,0.132
Kayla Thornton,DAL,27,25,30.4,3.7,10.7,0.343,1,3.8,0.272,2.6,6.9,0.382,0.391,2,2.1,0.931,1.8,5.3,1.8,0.9,0.3,1.6,2.2,10.4,21,0.547,0.003,0.436,6.5,12.4,12,0.9,5,12.5,26.1,1.7,1.4,3.1,0.168
Shao Ting,MIN,5,0,5.4,0.4,2,0.2,0,0,,0.4,2,0.2,0.2,0.4,0.6,0.667,0.4,1.2,0.4,0,0.2,0.4,1.2,1.2,12.7,0.512,0.292,0.238,3.9,8,32.6,2.6,1.2,28.4,14.3,0.4,0.3,0.6,0.041
Kristi Toliver,WAS,23,23,29.5,5,10.2,0.494,1.6,4.3,0.36,3.5,5.9,0.593,0.57,1.3,1.5,0.857,0.5,2.9,5.9,1.2,0.1,2,1.3,13,10.6,0.459,0.172,0.034,1.6,6,2.5,1.1,2.3,3.3,18.6,0,0,0,-0.006
Morgan Tuck,CON,33,0,10.7,1.4,3.5,0.388,0.5,1.3,0.357,0.9,2.2,0.405,0.453,0.5,0.9,0.6,0.5,2,0.8,0.4,0.1,0.9,1.3,3.7,12.4,0.42,0.186,0.309,3.4,7.9,30.9,1.7,1.3,16.5,18,0.1,1.2,1.3,0.067
Brianna Turner,PHO,29,12,15.9,1.7,3.1,0.538,0,0,,1.7,3.1,0.538,0.538,0.7,0.9,0.731,1.6,4.1,0.5,0.2,0.7,0.7,1.7,4,9.5,0.437,0.089,0.341,6.2,10.8,16.8,1.8,0.5,18.9,17.4,-0.4,1,0.6,0.038
Yvonne Turner,PHO,29,14,20.5,2,5.9,0.343,0.9,2.7,0.329,1.1,3.2,0.355,0.419,1.5,1.7,0.878,0.3,2.8,2.3,0.6,0.1,2,1.3,6.4,15.8,0.56,0.399,0.156,5.3,15.5,6.6,2.3,4.9,14.8,17,0.6,0.8,1.4,0.098
Maria Vadeeva,LAS,15,1,12,3.4,6.9,0.49,0.3,1.1,0.313,3.1,5.9,0.523,0.514,0.7,0.9,0.769,1.2,3.9,0.7,1,0.2,1.2,1.5,7.8,7.8,0.464,0.276,0.345,1.6,6.8,17.5,1.2,1.2,20.8,17.8,-0.3,0.4,0.1,0.006
Courtney Vandersloot,CHI,33,33,30,4.1,9.1,0.452,0.9,3.2,0.29,3.2,5.8,0.542,0.503,2.1,2.4,0.85,0.6,4.3,9.1,1.4,0.5,2.9,1.5,11.2,8.5,0.402,0,0.471,12.4,15.4,4,1.9,2.8,17.2,17.7,-0.2,0.3,0.1,0.012
Ashley Walker,LAS,3,0,7.3,0.3,3.7,0.091,0,1.7,0,0.3,2,0.167,0.091,0,0,,0.7,1,1,0.3,0,0,1.3,0.7,-2.8,0.188,0.5,0,2.7,5.8,3.3,0,0,11.1,9.8,-0.1,0,-0.1,-0.119
Shatori Walker-Kimbrough,WAS,34,1,17.1,2.2,5.2,0.432,0.6,2.1,0.31,1.6,3.1,0.514,0.494,1.6,1.7,0.93,0.5,1.6,1.2,0.8,0.2,1,1.2,6.7,16.5,0.553,0,0.467,14.7,20.7,2.2,1.5,5.5,14.2,16.9,0.3,0.4,0.7,0.165
Avery Warley-Talbert,NYL,3,0,11.7,0.3,1.7,0.2,0,0,,0.3,1.7,0.2,0.2,0.3,0.7,0.5,1,2.3,0,0,0.7,1.3,2.3,1,12.9,0.489,0.5,0.178,6.1,15.1,14.6,1.1,3.8,16.5,19.5,0.2,0.5,0.7,0.067
Erica Wheeler,IND,34,34,25,3.7,8.8,0.426,1.4,3.7,0.384,2.3,5.1,0.457,0.507,1.2,1.4,0.872,0.1,3,5,1.2,0.1,2.9,2.2,10.1,4,0.321,0.857,0,1.3,2.8,8.8,1.9,1,0,7.6,0,0,0,0.012
Sami Whitcomb,SEA,33,13,20.4,2.5,6.8,0.366,1.9,5.6,0.342,0.6,1.2,0.475,0.507,0.3,0.3,1,0.5,1.7,2.4,1.1,0.1,1.6,1.5,7.2,8.5,0.412,0.071,0.286,10.2,13.2,13.6,1.1,0.9,18.2,18.2,-0.1,0.1,0,0.008
Sydney Wiese,LAS,32,16,20.6,1.7,4.5,0.385,1.1,2.9,0.366,0.7,1.6,0.42,0.503,0.3,0.3,1,0.2,1.3,1.8,0.5,0.3,1,0.8,4.8,8.6,0.4,0,0.486,12.6,14.2,3.8,2.5,2.9,19.1,18.8,-0.2,0.2,0,0.015
Courtney Williams,CON,34,34,29.1,5.5,12.6,0.435,0.5,1,0.457,5,11.6,0.433,0.453,1.8,2.2,0.8,1.4,5.6,3.8,1.4,0.4,1.6,1.4,13.2,-8.1,0,0.333,0,3.7,5.9,4.6,0,0,14.3,10.5,-0.2,0,-0.2,-0.213
Elizabeth Williams,ATL,32,32,28.4,3.3,7.3,0.455,0,0,,3.3,7.3,0.455,0.455,2.6,3.5,0.732,3.1,6.5,1.2,0.8,1.7,1.3,2.2,9.3,16.5,0.507,0,0.258,17.5,22,1.8,1.7,4.7,12.7,19.3,0.1,0.2,0.3,0.151
Gabby Williams,CHI,33,2,16,2.3,5.5,0.414,0.2,1.2,0.171,2.1,4.2,0.486,0.434,0.9,1.2,0.725,0.4,2.2,2.1,0.7,0.2,1.7,1.2,5.6,13.2,0.497,0.545,0.179,6.2,15.2,17.1,0.9,3.9,18.4,19.9,0.2,0.4,0.6,0.06
